original,transcribed,status
In chti Liciari D. Petro viri animus carare Aristaeus Babylonis regem.,In chti Liciari D. Petro viri animus carare Aristaeus Babylonis regem.,pending
In Ittian Imbergi Roman.,In Ittian Imbergi Roman.,pending
In Ittian mihi new.,In Ittian mihi new.,pending
In Ittian regni Mardacei.,In Ittian regni Mardacei.,pending
In Torsilum Vadi cantici.,In Torsilum Vadi cantici.,pending
In Aethiopidia Christi.,In Aethiopidia Christi.,pending
In Iettaleflia Christi.,In Iettaleflia Christi.,pending
In praefatory voxcum.,In praefatory voxcum.,pending
Anteitus Vitini Ponti suis tipis et ejus Jacobus mimoris Apostol.,Anteitus Vitini Ponti suis tipis et ejus Jacobus mimoris Apostol.,pending
Joannis baptistae St. Ulaci.,Joannis baptistae St. Ulaci.,pending
Joannis Alti Evangelici.,Joannis Alti Evangelici.,pending
Joannis a St. Bariat.,Joannis a St. Bariat.,pending
Joannis a St. Mari.,Joannis a St. Mari.,pending
Brandenburspecianis fil Giesco jus Æstebciniensis.,Brandenburspecianis fil Giesco jus Æstebciniensis.,pending
Joannis Alti narrativ.,Joannis Alti narrativ.,pending
[page number] 86.,[page number] 86.,pending
[page number] 1380.,[page number] 1380.,pending
"Joannis Alti. vivente; fuis Constantia communis aris, cauthis fatis antimisieris.","Joannis Alti. vivente; fuis Constantia communis aris, cauthis fatis antimisieris.",pending
[page number] 267.,[page number] 267.,pending
Anast. St Pater Redia.,Anast. St Pater Redia.,pending
[page number] 814.,[page number] 814.,pending
